prompt,model_answer,is_hallucination
В каком году была создана группа My Bloody Valentine?,"Кевин Шилдс (English: Kevin Shields) родился в нью-йоркском квартале Квинс (English: Queens). Когда ему было шесть лет, его семья переехала в Дублин, Ирландия. Ещё в юности им завладел интерес к музыке, и в конечном счёте он стал играть со своим другом детства Кольмом О’Кисогом (English: Colm O'Ciosoig). В 1984 году Шилдс и О’Кисог организовывают группу вместе с вокалистом Дэйвом Конвеем (English: Dave Conway) и клавишницей Тиной Дёркин (English: Tina Durkin). Название «My Bloody Valentine» было взято из названия одноимённого фильма ужасов. Группа переезжает в Берлин, где на лейбле Tycoon в начале 1985 года выпускает дебютный мини-альбом «This Is Your Bloody Valentine». Эта запись была сделана под влиянием постпанка и раннего альтернативного рока того времени — в особенности The Birthday Party. В этом году группа переезжает в Лондон, где к ним присоединяется басистка Дебби Гудж (English: Debbie Googe).",False
В каком году была создана группа My Bloody Valentine?,"Звучание группы часто сравнивают с легендарными The Smashing Pumpkins, хотя участники группы говорят, что на них оказали влияние такие группы как My Bloody Valentine, Velvet Underground, Elliott Smith,Sonic Youth,Sweet, Modest Mouse, и Secret Machines.",True
Сколько раз Ли́ля Ю́рьевна Брик была замужем?,"Родная сестра Эльзы Триоле. Была замужем за Осипом Бриком, Виталием Примаковым, Василием Катаняном. Биография Лили Брик переплетена с судьбами многих деятелей искусства и литературы разных стран, в том числе Сергея Наровчатова, Павла Когана, Михаила Кульчицкого, Майи Плисецкой, Родиона Щедрина, Сергея Параджанова, Андрея Вознесенского, Мартироса Сарьяна, Марка Шагала, Пабло Пикассо и других. Получив половину прав на творческое наследие Маяковского, Лиля Юрьевна участвовала в выпуске полного собрания сочинений поэта. Создала первый в Москве музей Маяковского (впоследствии ликвидированный). С конца 1950-х годов цензура стремилась исключить фамилию Брик из биографии Маяковского. Лиля Юрьевна Брик покончила жизнь самоубийством в 1978 году в возрасте 86 лет.",False
Сколько раз Ли́ля Ю́рьевна Брик была замужем?,"В 1950-х годах в доме Брик-Катаняна появился катушечный магнитофон. Благодаря записям, сделанным в их квартире в разные годы, сохранилось авторское чтение стихов тех литераторов, что бывали в гостях у Брик. Так, существует запись от 1954 года, когда на устроенном Лилей Юрьевной вечере собрались Назым Хикмет, Пабло Неруда, Луи Арагон, Давид Бурлюк, Эльза Триоле. В 1961 и 1966 годах в доме Брик-Катаняна отмечались дни рождения поэта Алексея Кручёных, который также читал при включённом магнитофоне свои произведения. Электромеханическое устройство использовалось Лилей Юрьевной для написания звуковых писем, адресованных Триоле и Арагону, а также Константину Симонову[56]. Брик придавала большое значение умению литераторов донести свои стихи до слушателей. К примеру, в начале 1960-х годов, познакомившись со стихами студента-филолога из Ленинграда Виктора Сосноры, она призналась автору: «Жаль, что нельзя послушать Вас. Только иногда магнитофонную запись. Я убеждена, что Вы сейчас № 1»[57].",True
В каком немецком городе родилась Екатерина 2?,"Екатери́на II Алексе́евна Вели́кая (урождённая Софи́я Авгу́ста Фредери́ка А́нгальт-Це́рбстская, German: Sophie Auguste Friederike von Anhalt-Zerbst-Dornburg, в православии Екатерина Алексе́евна; , Штеттин, Пруссия — , Зимний дворец, Петербург) — императрица Всероссийская с 1762 по 1796 год.",False
В каком немецком городе родилась Екатерина 2?,"Ein jeder Unser treuer Unterthan weiss, das wie Wir von booshaften Leuten und von Neidhart, allrussischen und nach allen Rechten Uns gehörten Tron, verlohren haben. Aber anjetzo der allmächtiger Gott nach seiner Gerechten Schicksal, und in dem die herlzliche zu ihm Gebehten von Unseren treuen Unterthanen, hörete, Unser Sküpetr uns wieder gebet, und die Missthäter, die voll Neidhart sind, Unseren Monarchen Füssen unterwirft. Aber auch jetzo seynd etliche, die sich nicht bekennen, und aus Finsterniss der Neidhart nicht auskommen wollen, und Unserer hohen Macht sich wiederstehen, und dabei unsere blümende Nhamen, so als wie ehedem umstürzten und Unsere Unterthanen, die rechte Söhne des Vaterlandes, so als wie die junigen Knaben zu Waisen bringen wollen, allein Wir, nach Unserer gebürtigen zu treuen Unterthanen Hochmuth und Liebe, wer auch, anjetzo aus Irrthum der Bоosheit wieder auskommen, und Unserer hohen Macht herzlich gehorhen, und treuunterthänigst dienen wird, den junigen Gnädigst verzeihen; und über das väterliche Freyheit versprechen. Und wenn wer das nicht annehmen will, und noch in solcher Missthat und Boosheit verbleiben wird; und von allmächtigen Schöpfer Uns gegebener hohen Macht und Gewalt nicht gehorchen wird, so werden die jenigen Unsern gerechten und wurcklichen Zorn an sich fühlen. Und darum ist das von Uns in ganze Public geschieht, in dem sich ein jeder treuer Unterthan wesendlich beckennet
20 декабря три указа (два на русском и один на немецком) Пугачёва к губернатору Рейнсдорпу и жителям Оренбурга были привязаны к пике и воткнуты в снег под стенами осаждённого Оренбурга, посланные для этого казаки проследили, что бумаги были взяты в город посланным казаком из числа оренбургского гарнизона. 24 декабря Рейнсдорп сумел переправить донесение о ходе обороны города в Военную коллегию в Санкт-Петербург, приложив к нему и данные послания из лагеря осаждавших. Наличие среди множества подбрасываемых в Оренбург посланий указа на немецком языке вызвало сильную озабоченность в правительстве Екатерины II, так как подтверждало множество имевшихся подозрений того, что восстание могло быть инспирировано иностранными державами. Екатерина отправила детальные указания по расследованию вопроса об авторе «немецкого указа»: «Старайтесь узнать: кто сочинитель немецкого письма, от злодеев в Оренбург присланного, и нет ли между ними чужестранцев, и не смотря ни на каких лиц, уведомите меня о истине».",True
Где находится Лахта центр?,"«Ла́хта-центр»[1] (официально пишется без дефиса — «Ла́хта Центр»[2]; English: Lakhta Center) — построенный в Лахте, исторической части Приморского района Санкт-Петербурга, общественно-деловой комплекс, ключевым объектом которого будет штаб-квартира государственного концерна «Газпром»[3]. Комплекс включает небоскрёб и многофункциональное здание (МФЗ), разделённое атриумом на Южный и Северный блоки[4]. Общая площадь помещений — 400 тыс. м². Небоскрёб стал самым северным в мире и самым высоким в России и Европе, превзойдя на 88 метров московский небоскрёб «Федерация». Если же брать абсолютную высоту, то Лахта-центр занимает второе место среди самых высоких сооружений России и Европы, уступая лишь 540-метровой Останкинской телебашне. Высота здания при 87 этажах составляет почти 463 метра, из которых 117,75 метра приходятся на шпиль из металлоконструкций весом более 2000 тонн[5][6]. Общая стоимость комплекса составила 120,7 млрд руб. или 1,77 млрд долларов[7]. Продолжается внутренняя отделка и благоустройство территории, получено разрешение на ввод в эксплуатацию, открытие комплекса запланировано на конец 2019 года[8].",False
Где находится Лахта центр?,"В центре города находится железнодорожный вокзал. Поезда ходят в трёх направлениях: Хельсинки через Кераву, Риихимяки, Коувола. Также на станции Лахти останавливаются проходящие поезда «Allegro» и «Лев Толстой».",True
Какой самый распространенный элемент на Земле?,"Например, массовая доля распространённости кислорода в воде составляет около 89 %, потому что это доля массы воды, которой является кислород. Однако, мольная доля распространённости кислорода в воде только 33 %, потому что только 1 из 3 атомов в молекуле воды является атомом кислорода. Во Вселенной в целом, и в атмосферах газовых планет-гигантов, таких как Юпитер, массовая доля распространенности водорода и гелия около 74 % и 23-25 % соответственно, в то время атомная мольная доля элементов ближе к 92 % и 8 %.",False
Какой самый распространенный элемент на Земле?,"В упорядоченных структурах данных стек используется в качестве динамического элемента памяти, в котором абстрактное понятие — аппаратно зависимый стек вызовов — используется для хранения копии данных или их части, будь то адреса памяти элементов данных (см.: Параметр (программирование)#Передача параметра по ссылке) или копии данных (передача параметра по значению). Самой распространенной задачей обработки списков является сортировка (в лексикографическом порядке, по возрастанию значения, и т. д.), в которой действия машины ограничиваются сравнением всего двух элементов, тогда как список чаще всего содержит миллионы членов. Существуют различные стратегии (компьютерные алгоритмы), оптимальные для разных типов сортируемых данных, но при реализации все они прибегают к применению программ или подпрограмм, которые обычно вызывают сами себя или часть своего кода рекурсивно, и при каждом вызове добавляют в стек вызовов частично упорядоченный список элементов. Именно по этой причине в курсах структур данных стеки и рекурсии обычно вводятся параллельно, потому что они тесно взаимосвязаны.",True
Сколько сортов тюльпанов есть в мире на март 2019?,"Тюльпа́н (Latin: Túlipa) — род многолетних травянистых луковичных растений семейства , в современных систематиках включающий более 80 видов. Центр происхождения и наибольшего разнообразия видов тюльпанов — горы северного Ирана, Памиро-Алай и Тянь-Шань. За 10—15 миллионов лет эволюции тюльпаны расселились до Испании и Марокко на западе, до Забайкалья на востоке и до Синайского полуострова на юге. На севере интродуцированные человеком популяции тюльпана лесного достигли Шотландии и южного побережья Скандинавии.",False
Сколько сортов тюльпанов есть в мире на март 2019?,"С 1969 года класс включает известные с XVII века карликовые сорта расформированного класса Дюк ван Толь[9][20]. Эта генетически обособленная группа, вероятно, восходит не к тюльпану Геснера, а к тюльпану Шренка (Tulipa suaveolens, синоним Tulipa shrenckii). С 1981 года в класс включены раннецветущие Менделевы тюльпаны, полученные скрещиванием сортов Дюк ван Толь с Дарвиновыми тюльпанами[9].",True
Какой процент населения Земли ездит на правостороннем движении?,"На данный момент 66 % населения Земли ездят по правой стороне и 34 % по левой, в первую очередь за счёт населения Индии, Индонезии, Пакистана[1]. 72 % всех дорог правосторонние, 28 % — левосторонние[2].",False
Какой процент населения Земли ездит на правостороннем движении?,"Одной из последних стран, перешедших с левостороннего движения на правостороннее, была Швеция. Это произошло в 1967 году. Подготовка к реформе началась ещё в 1963 году, когда шведский парламент образовал Государственную комиссию по переходу на правостороннее движение, которая должна была разработать и провести в жизнь комплекс мер для обеспечения такого перехода. 3 сентября 1967 года в 4:50 утра все транспортные средства должны были остановиться, сменить сторону дороги и продолжить движение в 5:00. На первое время после перехода был установлен специальный режим ограничения скорости.",True
Когда появилась живопись Тибета?,"Живопись Тибета — художественная традиция, которая развивалась в различных государствах и княжествах, существовавших на территории Тибета в разных формах с I века н. э. по 1951 год. В более широком смысле под тибетской живописью понимают искусство, существовавшее там, где распространился тибетский буддизм ваджраяны — в Китае, Монголии, Бурятии, Бутане, северных районах Индии и древних княжествах центральной Азии. Эта живопись питалась одними и теми же идейными источниками, но имела поправки на некоторые местные особенности. Например, китайскую разновидность этой живописи называют сино-тибетским стилем.",False
Когда появилась живопись Тибета?,"Перемены затронули и живопись западного Тибета, в которой появился больший интерес к различным элементам в изображении пространственного окружения персонажей и менее условное (более реалистическое) отображение фигур божеств и людей.",True
Михаи́л Алекса́ндрович Вру́бель был душевно больным человеком?,"Н. А. Дмитриева сравнивала творческую биографию Врубеля с драмой в трёх актах с прологом и эпилогом, причём переход к новому этапу каждый раз совершался резко и неожиданно. Под «прологом» подразумеваются ранние годы учения и выбора призвания. Акт первый — 1880-е годы, пребывание в Академии художеств и переезд в Киев, занятия византийским искусством и церковной живописью. Акт второй — московский период, начатый в 1890 году «Демоном сидящим» и завершившийся в 1902 году «Демоном поверженным» и госпитализацией художника. Акт третий: 1903—1906 годы, связанные с душевной болезнью, постепенно подтачивавшей физические и интеллектуальные силы живописца. Последние четыре года, ослепнув, Врубель жил уже только физически[1].",False
Михаи́л Алекса́ндрович Вру́бель был душевно больным человеком?,"Михаи́л Алекса́ндрович Я́ковлев — генерал-майор, член государственной военной коллегии",True
Сколько букв в Русском языке в 2018 году?,"Ру́сский алфави́т (ру́сская а́збука) — алфавит русского языка, в нынешнем виде с 33 буквами, существующий с 1918 года (буква Ё официально утверждена лишь с 1942 года[1]: ранее считалось, что в русском алфавите 32 буквы[2][3][4], поскольку Е и Ё рассматривались как варианты одной и той же буквы).",False
Сколько букв в Русском языке в 2018 году?,"В 1923—1938 годах письменность была переведена на латинскую основу, с 1938 года в Северной Осетии — русская графика, в Южной Осетии — грузинский алфавит (с 1954 — русская графика). При переходе на русскую графику в 1938 году ряд символов шёгреновской азбуки был заменён диграфами (""дз"", ""дж"", ""хъ"" и др.), а из символов, не входящих в русский алфавит, осталась только буква ""ӕ"". Буква ""ӕ/ӕ"" является безошибочным определителем осетинских текстов: из всех кириллических алфавитов она есть только в осетинском.
В современный осетинский алфавит входит 44 буквы (буквами считаются также диграфы ""дз"", ""дж"", ""гъ"" и другие), причём некоторые из них (""ё"", ""щ"", ""ь"", ""я"" и др.) встречаются только в заимствованиях из (или посредством) русского языка. Существуют предложения по оптимизации орфографии, в частности, профессор Т. Т. Камболов предлагает сократить осетинский алфавит на 16 знаков за счёт обозначения смычно-гортанных диакритическим знаком, а другие диграфы и символы в заимствованных словах «вывести из алфавита на уровень письма».",True
Дэвид Марк Моррисси играл в театре?,"Дэвид Марк Моррисси (English: David Mark Morrissey; род. 21 июня 1964 года, Кенсингтон, Ливерпуль, Англия) — английский актёр и режиссёр. Моррисси дебютировал на телевидении в возрасте восемнадцати лет, в 1983 году получив роль в телесериале , которая принесла ему известность в Великобритании. После «Одного лета» он поступил в Королевскую академию драматического искусства и в течение четырёх лет выступал в шекспировском проекте Королевского национального театра.",False
Дэвид Марк Моррисси играл в театре?,"В 2011 году Моррисси сыграл Роберта Карне в мини-сериале и Гарольда Данлопа в боевике «Без компромиссов»[68]. В мае 2011 года он вернулся в театр Эверимен, где сыграл главную роль в постановке «Макбета». В спектакле он снова работал с (леди Макбет), с которой познакомился в шекспировском проекте и ранее работал на съёмках «Красного райдинга»[76]. Моррисси рассказывал о роли криминалистов, проводя параллели с реальными серийными убийцами и сосредотачиваясь на Макбете как герое войны и на его бездетных отношениях с леди Макбет[77]. Игра Моррисси получила высокую оценку; Лаура Дэвис из Liverpool Daily Post подчеркнула удачно сыгранный переход от «государственного деятеля с настоящей строевой выправкой к ревностному убийце»[78]; Клэр Бреннан из The Observer также похвалила Макбета в исполнении Моррисси, но отметила его перегибы в некоторых моментах[79]. Моррисси получил роль графа Нортумберленда в ещё одной адаптации Шекспира — экранизации пьесы «Ричард II», готовящейся к трансляции на BBC в 2012 году[80].",True
Сколько стран принимало участие в Зимних Олимпийских играх 2014?,"На Олимпийских играх в Сочи представлены 88 стран[32], что является новым олимпийским рекордом. Впервые в зимних олимпийских играх, проходивших в Сочи, приняли участие семь новых стран: Доминика, Мальта, Парагвай, Восточный Тимор, Того, Тонга и Зимбабве[33].",False
Сколько стран принимало участие в Зимних Олимпийских играх 2014?,Мальта принимала участие в 14 летних Олимпийских играх. Дебютировала на Играх в Париже в 1924 году. В зимних Олимпийских играх спортсмены Мальты впервые приняли участие в Олимпиаде 2014 года в Сочи. Спортсмены этой страны никогда не завоёвывали олимпийских медалей.,True
Выходит в Калмыкии газета на калмыцком языке на март 2019?,"Хальмг үнн (Калмыцкая правда) — республиканская общественно-политическая газета на калмыцком и русском языках, издающаяся в Элисте, Калмыкии. Газета освещает общественно-политические события, происходящие в Калмыкии, а также публикует материалы по культуре и языку калмыков.",False
Выходит в Калмыкии газета на калмыцком языке на март 2019?,"Духовная жизнь Донских калмыков-казаков регламентировалась Учреждением Гражданского Управления казаков и Временным Положением о службе Бакши — (Ламы) Донских калмыков. Царское правительство России с целью прервать связи Калмыков с Тибетом установило прерогативу Петербурга в утверждении Верховного ламы (Шаджин-лама). Стоит отметить, что до 1902 года донские калмыки были лишены права иметь своего духовно-религиозного главу. Лишь благодаря кампании, поднятой есаулом Нараном Эренценовичем Улановым (видный деятель донских калмыков) и его статей помещенных в петербургских газетах, а равно и изданная брошюра «Калмыцкое духовенство и современное положение Калмыцкого народа на Дону», сыграли большую роль в смысле разрешения вопроса иметь своего «Ламу». Религиозная иерархия у Калмыков состояла из 4 ступеней: низшую ступень занимали рядовые монахи — «манжи», над ними стояли наставники — «бакши», ещё выше находились жрецы — «гелюнги», высшую ступень занимал первосвященник — «Лама». Пост «Ламы» давал не только известные религиозные права, но и большое светское влияние.
Известные Ламы Донских калмыков , , Менько Борманжинов, Дамбо-Даши Ульянов, , , Лубсан-Шарап Тепкин. Мёнкэ Борманжинов сыграл значительную роль в жизни донских калмыков, ведя упорную борьбу с обрусением. Благодаря ему, в школах, где учились калмыки, было введено преподавание калмыцкой грамоты, письменности и буддийского вероучения. В станицах Сальского округа появляются народные школы, а в ст. Великокняжеской: высшее начальное училище (городское), четырёхклассное женское училище. Вследствие мероприятий Ламы Борманжинова число калмыков, оканчивавших единственную, городскую школу в Сальском округе, увеличивалось с каждым годом. Благодаря материальной поддержке со стороны станичных обществ, в 1912 году в ст. Великокняжеской было открыто среднее учебное заведение, где обучалось до сотни калмыцких детей. В 1906 году из среды донских калмыков появились первые студенты высших учебных заведений. В Новочеркасске можно было видеть детей калмыков в форме гимназистов, реалистов, а калмыцкую молодежь — студентами и юнкерами Новочеркасского казачьего училища, по окончании которого они выходили в Донские полки.",True
Какая площадь падения Тунгу́сского метеорита?,"Взрыв на Тунгуске был слышен за 800 км от эпицентра, взрывной волной был повален лес на площади 2000 км², в радиусе 200 км были выбиты стёкла некоторых домов; сейсмическая волна зарегистрирована сейсмическими станциями в Иркутске, Ташкенте, Тбилиси и Йене[12].",False
